iWine,Barcode,Location,Bin,Size,Currency,ExchangeRate,Valuation,Price,NativePrice,NativePriceCurrency,StoreName,PurchaseDate,BottleNote,Vintage,Wine,Locale,Country,Region,SubRegion,Appellation,Producer,SortProducer,Type,Color,Category,Varietal,MasterVarietal,Designation,Vineyard,WA,WS,IWC,BH,AG,WE,JR,RH,JG,GV,JK,LD,CW,WFW,PR,SJ,WD,RR,JH,MFW,WWR,IWR,CHG,TT,TWF,DR,FP,JM,PG,WAL,JS,CT,CNotes,MY,PNotes,BeginConsume,EndConsume,PurchasedCommunity,QuantityCommunity,PendingCommunity,ConsumedCommunity
5183919,204582022,Cabinet,,750ml,USD,1,18.3084,20.0,20.0,USD,Costco,4/13/2025,,2021,Aresca Nizza San Luigi,"Italy, Piedmont, Asti, Nizza",Italy,Piedmont,Asti,Nizza,Aresca,Aresca,Red,Red,Dry,Barbera,Barbera,San Luigi,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.3214285714286,29,,,2025.0,2032.0,770,501,2,267
3836494,194649184,Cabinet,,750ml,USD,1,11.2621,0.0,0.0,USD,Unknown,8/11/2024,,2018,Gérard Bertrand Corbières Grenache/Syrah/Mourvedre,"France, Languedoc Roussillon, Languedoc, Corbières",France,Languedoc Roussillon,Languedoc,Corbières,Gérard Bertrand,"Bertrand, Gérard ",Red,Red,Dry,Red Rhone Blend,Red Rhone Blend,Grenache/Syrah/Mourvedre,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,7,,,2021.0,2025.0,104,34,0,70
4391934,197657407,Cabinet,,750ml,USD,1,11.8621,8.0,8.0,USD,Costco,11/2/2024,,2020,Bodegas Castaño Monastrell Yecla Hécula,"Spain, Murcia, Yecla",Spain,Murcia,Unknown,Yecla,Bodegas Castaño,"Castaño, Bodegas ",Red,Red,Dry,Monastrell,Mourvèdre,Hécula,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,1,,,2023.0,2026.0,19,6,0,13
4391934,197657408,Cabinet,,750ml,USD,1,11.8621,8.0,8.0,USD,Costco,11/2/2024,,2020,Bodegas Castaño Monastrell Yecla Hécula,"Spain, Murcia, Yecla",Spain,Murcia,Unknown,Yecla,Bodegas Castaño,"Castaño, Bodegas ",Red,Red,Dry,Monastrell,Mourvèdre,Hécula,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,1,,,2023.0,2026.0,19,6,0,13
4856066,207273230,Cabinet,,750ml,USD,1,17.0691,23.0,23.0,USD,Costco,6/20/2025,,2022,Circumference Wines Cabernet Sauvignon,"USA, California, Sonoma County, Dry Creek Valley",USA,California,Sonoma County,Dry Creek Valley,Circumference Wines,Circumference Wines,Red,Red,Dry,Cabernet Sauvignon,Cabernet Sauvignon,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.1320754716981,57,,,2024.0,2027.0,803,408,0,395
5078456,198636899,Cabinet,,750ml,USD,1,19.7804,25.0,25.0,USD,Costco,11/21/2024,,2022,Clos de Napa Cellars Cabernet Sauvignon Napa Valley,"USA, California, Napa Valley",USA,California,Napa Valley,Napa Valley,Clos de Napa Cellars,Clos de Napa Cellars,Red,Red,Dry,Cabernet Sauvignon,Cabernet Sauvignon,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,13,,,2026.0,2030.0,442,279,0,163
4871498,203403701,Cabinet,,750ml,USD,1,20.12,25.0,25.0,USD,Costco,3/15/2025,,2019,Clos de Napa Cellars Pinot Noir,"USA, California, Napa Valley",USA,California,Napa Valley,Napa Valley,Clos de Napa Cellars,Clos de Napa Cellars,Red,Red,Dry,Pinot Noir,Pinot Noir,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5,2,,,2025.0,2027.0,72,42,0,30
4618107,195274117,Cabinet,,750ml,USD,1,24.043,19.99,19.99,USD,Costco,8/31/2024,,2021,Cortonesi Rosso di Montalcino La Mannella,"Italy, Tuscany, Montalcino, Rosso di Montalcino",Italy,Tuscany,Montalcino,Rosso di Montalcino,Cortonesi,Cortonesi,Red,Red,Dry,Sangiovese,Sangiovese,La Mannella,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5,2,,,2024.0,2028.0,57,25,0,32
4279865,196186955,Cabinet,,750ml,USD,1,8.0528,9.0,9.0,USD,Costco,9/27/2024,,2017,Faustino Rivero Ulecia Rioja Reserva,"Spain, La Rioja, Rioja",Spain,La Rioja,Unknown,Rioja,Faustino Rivero Ulecia,Faustino Rivero Ulecia,Red,Red,Dry,Tempranillo Blend,Tempranillo,Reserva,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.6666666666667,3,,,2023.0,2028.0,54,20,0,34
5388447,207273300,Cabinet,,750ml,USD,1,9.807,20.0,20.0,USD,Costco,6/20/2025,,2019,Finca Manzanos Rioja Castillo de Logrono Winemaker's Selection,"Spain, La Rioja, Rioja",Spain,La Rioja,Unknown,Rioja,Finca Manzanos,Finca Manzanos,Red,Red,Dry,Tempranillo Blend,Tempranillo,Castillo de Logrono Winemaker's Selection,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.25,5,,,2024.0,2028.0,155,88,0,67
